legacy_url,source_of_discovery,intended_destination,status_code,content_match_evidence,confidence,disposition
/archive-1,.com sitemap 2026-09-18,/books/trust-stillness,301,"page titled ""Trust Stillness — New Book by Brian J. Mueller"" in the 2022 export",high,redirect
/archive-10,.com sitemap 2026-09-18,/books,301,"page titled ""Books""",high,redirect
/archive-11,.com sitemap 2026-09-18,/series/poem-of-the-day,301,"page titled ""Brian's Poem of the Day Series""",high,redirect
/archive-12,.com sitemap 2026-09-18,/books,301,"page titled ""Latest Books""",high,redirect
/archive-13,.com sitemap 2026-09-18,/series/the-bull-series,301,"page titled ""The Bull Series""",high,redirect
/archive-14,.com sitemap 2026-09-18,/books,301,"live 200, absent from the sitemap; a later books page",high,redirect
/archive-14/baloney,.com sitemap 2026-09-18,/books,301,child of /archive-14,high,redirect
/archive-2,.com sitemap 2026-09-18,/about,301,"page titled ""About (archive)""",high,redirect
/archive-3,.com sitemap 2026-09-18,/books,301,"page titled ""Books (archive)""",high,redirect
/archive-4,.com sitemap 2026-09-18,/contact,301,"page titled ""Contact (archive)""",high,redirect
/archive-5,.com sitemap 2026-09-18,/faq,301,"page titled ""FAQs (archive)""",high,redirect
/archive-6,2022 Squarespace export / live probe,/,301,"page titled ""Footer (archive)"" - a layout fragment, no equivalent page",high,redirect
/archive-7,.com sitemap 2026-09-18,/,301,"page titled ""Home (archive)""",high,redirect
/archive-8,.com sitemap 2026-09-18,/series/men-writing-for-change,301,"page titled ""MWFC (archive)""",high,redirect
/archive-9,.com sitemap 2026-09-18,/about,301,"page titled ""Digital Alphabet"" - the imprint, described on About",high,redirect
/brians-poem-of-the-day-series,2022 Squarespace export content links,/series/poem-of-the-day,301,old series slug; 404 today,high,redirect
/cart,2022 Squarespace export content links,/books,301,commerce retired; books are bought at Amazon from the book pages,high,redirect
/checkout,2022 Squarespace export content links,/books,301,commerce retired,high,redirect
/cookies-policy,.com sitemap 2026-09-18,/cookies-policy,200,identical page exists,certain,retained - same path on the new site
/disclaimer,.com sitemap 2026-09-18,/disclaimer,200,identical page exists,certain,retained - same path on the new site
/home,.com sitemap 2026-09-18,/,301,old Squarespace home alias,high,redirect
/latest-books,2022 Squarespace export content links,/books,301,"old page slug, renamed to /archive-12; 404 today",high,redirect
/living-workshop,.com sitemap 2026-09-18,/blog,301,blog index; the archive is described on the new Notes page,high,redirect
/living-workshop/2018/11/1/your-poetry,.com sitemap 2026-09-18,/blog,301,best candidate /poem/your-poetry scored 0.0,low - needs review,redirect - generic
/living-workshop/2018/11/10/troubles,.com sitemap 2026-09-18,https://brianspoems.com/poem/troubles,301,poem text overlap 0.962 with /poem/troubles,high,redirect
/living-workshop/2018/11/12/to-be-created,.com sitemap 2026-09-18,https://brianspoems.com/poem/to-be-created,301,poem text overlap 0.838 with /poem/to-be-created,high,redirect
/living-workshop/2018/11/13/my-breath,.com sitemap 2026-09-18,https://brianspoems.com/poem/my-breath,301,poem text overlap 0.979 with /poem/my-breath,high,redirect
/living-workshop/2018/11/14/in-movement,.com sitemap 2026-09-18,https://brianspoems.com/poem/in-movement,301,poem text overlap 0.925 with /poem/in-movement,high,redirect
/living-workshop/2018/11/15/two-doors,.com sitemap 2026-09-18,https://brianspoems.com/poem/two-doors,301,poem text overlap 1.0 with /poem/two-doors,high,redirect
/living-workshop/2018/11/16/autumn,.com sitemap 2026-09-18,https://brianspoems.com/poem/autumn,301,poem text overlap 1.0 with /poem/autumn,high,redirect
/living-workshop/2018/11/17/say-it-better,.com sitemap 2026-09-18,https://brianspoems.com/poem/say-it-better,301,poem text overlap 0.967 with /poem/say-it-better,high,redirect
/living-workshop/2018/11/18/floating,.com sitemap 2026-09-18,https://brianspoems.com/poem/floating,301,poem text overlap 0.88 with /poem/floating,high,redirect
/living-workshop/2018/11/19/my-heart-at-peace,.com sitemap 2026-09-18,https://brianspoems.com/poem/my-heart-at-peace,301,poem text overlap 1.0 with /poem/my-heart-at-peace,high,redirect
/living-workshop/2018/11/2/soulful-pilgrim,.com sitemap 2026-09-18,https://brianspoems.com/poem/soulful-pilgrim,301,poem text overlap 0.987 with /poem/soulful-pilgrim,high,redirect
/living-workshop/2018/11/20/no-judgment,.com sitemap 2026-09-18,https://brianspoems.com/poem/no-judgment,301,poem text overlap 1.0 with /poem/no-judgment,high,redirect
/living-workshop/2018/11/21/first-death,.com sitemap 2026-09-18,https://brianspoems.com/poem/first-death,301,poem text overlap 0.853 with /poem/first-death,high,redirect
/living-workshop/2018/11/22/embodied-love,.com sitemap 2026-09-18,https://brianspoems.com/poem/embodied-love,301,poem text overlap 1.0 with /poem/embodied-love,high,redirect
/living-workshop/2018/11/23/body-soul,.com sitemap 2026-09-18,https://brianspoems.com/poem/body-soul,301,poem text overlap 0.984 with /poem/body-soul,high,redirect
/living-workshop/2018/11/24/peace-within,.com sitemap 2026-09-18,https://brianspoems.com/poem/peace-within,301,poem text overlap 0.919 with /poem/peace-within,high,redirect
/living-workshop/2018/11/25/pitter-patter,.com sitemap 2026-09-18,https://brianspoems.com/poem/pitter-patter,301,poem text overlap 1.0 with /poem/pitter-patter,high,redirect
/living-workshop/2018/11/26/becoming,.com sitemap 2026-09-18,https://brianspoems.com/poem/becoming,301,poem text overlap 1.0 with /poem/becoming,high,redirect
/living-workshop/2018/11/27/beyond-the-sea,.com sitemap 2026-09-18,https://brianspoems.com/poem/beyond-the-sea,301,poem text overlap 0.967 with /poem/beyond-the-sea,high,redirect
/living-workshop/2018/11/28/awake-my-soul,.com sitemap 2026-09-18,https://brianspoems.com/poem/awake-my-soul,301,poem text overlap 1.0 with /poem/awake-my-soul,high,redirect
/living-workshop/2018/11/29/prayers,.com sitemap 2026-09-18,https://brianspoems.com/poem/prayers,301,poem text overlap 1.0 with /poem/prayers,high,redirect
/living-workshop/2018/11/3/the-soup,.com sitemap 2026-09-18,https://brianspoems.com/poem/the-soup,301,poem text overlap 0.978 with /poem/the-soup,high,redirect
/living-workshop/2018/11/30/finding-my-ground,.com sitemap 2026-09-18,https://brianspoems.com/poem/finding-my-ground,301,poem text overlap 0.935 with /poem/finding-my-ground,high,redirect
/living-workshop/2018/11/5/will-to-live,.com sitemap 2026-09-18,https://brianspoems.com/poem/will-to-live,301,poem text overlap 1.0 with /poem/will-to-live,high,redirect
/living-workshop/2018/11/6/there-is-joy,.com sitemap 2026-09-18,https://brianspoems.com/poem/there-is-joy,301,poem text overlap 1.0 with /poem/there-is-joy,high,redirect
/living-workshop/2018/11/8/peace-pilgrim,.com sitemap 2026-09-18,https://brianspoems.com/poem/peace-pilgrim,301,poem text overlap 0.988 with /poem/peace-pilgrim,high,redirect
/living-workshop/2018/12/1/become-poem,.com sitemap 2026-09-18,https://brianspoems.com/poem/become-poem,301,poem text overlap 1.0 with /poem/become-poem,high,redirect
/living-workshop/2018/12/10/down-to-the-river,.com sitemap 2026-09-18,https://brianspoems.com/poem/down-to-the-river,301,poem text overlap 1.0 with /poem/down-to-the-river,high,redirect
/living-workshop/2018/12/11/lsimple-gifts,.com sitemap 2026-09-18,https://brianspoems.com/poem/simple-gifts-2,301,poem text overlap 0.856 with /poem/simple-gifts-2,high,redirect
/living-workshop/2018/12/12/love-is-right-here,.com sitemap 2026-09-18,https://brianspoems.com/poem/love-is-right-here,301,poem text overlap 1.0 with /poem/love-is-right-here,high,redirect
/living-workshop/2018/12/13/no-further-than-my-nose,.com sitemap 2026-09-18,https://brianspoems.com/poem/no-further-than-my-nose,301,poem text overlap 0.845 with /poem/no-further-than-my-nose,high,redirect
/living-workshop/2018/12/14/relax,.com sitemap 2026-09-18,https://brianspoems.com/poem/relax,301,poem text overlap 0.835 with /poem/relax,high,redirect
