url,discovery_source,template,status,title,description_len,robots_meta,canonical,review_coverage
/,build output 8ea45e5,page,200 (assumed; verify live in Prompt 01),Brian J. Mueller — Poet,77,"noindex, nofollow",no,not reviewed
/404,build output 8ea45e5,404,404,Not found — Brian J. Mueller,21,"noindex, nofollow",no,not reviewed
/about,build output 8ea45e5,page,200 (assumed; verify live in Prompt 01),About — Brian J. Mueller,137,"noindex, nofollow",no,not reviewed
/blog,build output 8ea45e5,page,200 (assumed; verify live in Prompt 01),Writing — Brian J. Mueller,42,"noindex, nofollow",no,not reviewed
/blog/trust-stillness,build output 8ea45e5,post,200 (assumed; verify live in Prompt 01),Trust Stillness is here — Brian J. Mueller,96,"noindex, nofollow",no,not reviewed
/books,build output 8ea45e5,page,200 (assumed; verify live in Prompt 01),Books — Brian J. Mueller,77,"noindex, nofollow",no,not reviewed
/books/bull-head,build output 8ea45e5,book,200 (assumed; verify live in Prompt 01),Bull Head — Brian J. Mueller,150,"noindex, nofollow",no,not reviewed
/books/bull-heart,build output 8ea45e5,book,200 (assumed; verify live in Prompt 01),Bull Heart — Brian J. Mueller,150,"noindex, nofollow",no,not reviewed
/books/cock-a-doodle-doo,build output 8ea45e5,book,200 (assumed; verify live in Prompt 01),Cock-A-Doodle-Doo — Brian J. Mueller,150,"noindex, nofollow",no,not reviewed
/books/complete-bull,build output 8ea45e5,book,200 (assumed; verify live in Prompt 01),Complete Bull — Brian J. Mueller,150,"noindex, nofollow",no,not reviewed
/books/jonah,build output 8ea45e5,book,200 (assumed; verify live in Prompt 01),Jonah — Brian J. Mueller,150,"noindex, nofollow",no,not reviewed
/books/men-writing-for-change-vol-1,build output 8ea45e5,book,200 (assumed; verify live in Prompt 01),Men Writing for Change — Brian J. Mueller,150,"noindex, nofollow",no,not reviewed
/books/men-writing-for-change-vol-2,build output 8ea45e5,book,200 (assumed; verify live in Prompt 01),Men Writing for Change — Brian J. Mueller,150,"noindex, nofollow",no,not reviewed
/books/more-bull,build output 8ea45e5,book,200 (assumed; verify live in Prompt 01),More Bull — Brian J. Mueller,150,"noindex, nofollow",no,not reviewed
/books/second-communion,build output 8ea45e5,book,200 (assumed; verify live in Prompt 01),Second Communion — Brian J. Mueller,150,"noindex, nofollow",no,not reviewed
/books/the-invitation,build output 8ea45e5,book,200 (assumed; verify live in Prompt 01),The Invitation — Brian J. Mueller,150,"noindex, nofollow",no,not reviewed
/books/tomorrow-could-be-wonderful,build output 8ea45e5,book,200 (assumed; verify live in Prompt 01),Tomorrow Could Be Wonderful — Brian J. Mueller,150,"noindex, nofollow",no,not reviewed
/books/trust-stillness,build output 8ea45e5,book,200 (assumed; verify live in Prompt 01),Trust Stillness — Brian J. Mueller,150,"noindex, nofollow",no,not reviewed
/contact,build output 8ea45e5,page,200 (assumed; verify live in Prompt 01),Contact — Brian J. Mueller,94,"noindex, nofollow",no,not reviewed
/cookies-policy,build output 8ea45e5,page,200 (assumed; verify live in Prompt 01),Cookie Policy — Brian J. Mueller,35,"noindex, nofollow",no,not reviewed
/disclaimer,build output 8ea45e5,page,200 (assumed; verify live in Prompt 01),Disclaimer — Brian J. Mueller,32,"noindex, nofollow",no,not reviewed
/faq,build output 8ea45e5,page,200 (assumed; verify live in Prompt 01),Questions — Brian J. Mueller,98,"noindex, nofollow",no,not reviewed
/poems,build output 8ea45e5,page,200 (assumed; verify live in Prompt 01),Poems — Brian J. Mueller,97,"noindex, nofollow",no,not reviewed
/privacy-policy,build output 8ea45e5,page,200 (assumed; verify live in Prompt 01),Privacy Policy — Brian J. Mueller,36,"noindex, nofollow",no,not reviewed
/retreat,build output 8ea45e5,page,200 (assumed; verify live in Prompt 01),"Rooted in the Land — a men&#39;s writing retreat, January 2027",144,"noindex, nofollow",no,not reviewed
/series/men-writing-for-change,build output 8ea45e5,series,200 (assumed; verify live in Prompt 01),Men Writing for Change — Brian J. Mueller,60,"noindex, nofollow",no,not reviewed
/series/poem-of-the-day,build output 8ea45e5,series,200 (assumed; verify live in Prompt 01),Brian&#39;s Poem of the Day — Brian J. Mueller,71,"noindex, nofollow",no,not reviewed
/series/the-bull-series,build output 8ea45e5,series,200 (assumed; verify live in Prompt 01),The Bull Series — Brian J. Mueller,70,"noindex, nofollow",no,not reviewed
/terms-conditions,build output 8ea45e5,page,200 (assumed; verify live in Prompt 01),Terms &amp; Conditions — Brian J. Mueller,44,"noindex, nofollow",no,not reviewed
